ID,risk_probability_default,decision
5009226,1.7827902241477004e-08,Approved
5009227,1.7981520273135135e-08,Approved
5009232,1.7827902126817125e-08,Approved
5009233,1.7827902241477004e-08,Approved
5009234,1.7768518352827224e-08,Approved
5009236,1.7981520273135135e-08,Approved
5009238,1.8050485433306936e-08,Approved
5009239,1.7836666561506074e-08,Approved
5009240,1.8050485433306936e-08,Approved
5009241,1.7298624716817835e-08,Approved
5009242,1.7056186562356543e-08,Approved
5009243,1.8038893278518852e-08,Approved
5009244,1.803889323956061e-08,Approved
5009246,1.695314802731127e-08,Approved
5009247,1.6953148022431584e-08,Approved
5009248,1.675232781685746e-08,Approved
5009249,1.8483071758595783e-08,Approved
5009250,1.7389889052607823e-08,Approved
5009251,1.8483071758595783e-08,Approved
5009252,1.8264128826973554e-08,Approved
5009253,1.8483071758595783e-08,Approved
5009255,1.8946674966565657e-08,Approved
5009257,1.8946674909410676e-08,Approved
5009258,1.8946674909410676e-08,Approved
5009260,1.819126881938925e-08,Approved
5009262,1.827653115888188e-08,Approved
5009265,1.6883621928770474e-08,Approved
5009266,1.6683625173899784e-08,Approved
5009267,1.6683625186480413e-08,Approved
5009268,1.6883621871258608e-08,Approved
5009269,1.6883621871258608e-08,Approved
5009270,1.695317176278396e-08,Approved
5009271,1.695317176278396e-08,Approved
5009272,1.695317176278396e-08,Approved
5009274,1.695317176281456e-08,Approved
5009275,1.695317176278396e-08,Approved
5009276,1.6752351216027616e-08,Approved
5009277,1.695317176278396e-08,Approved
5009278,1.6692968371171405e-08,Approved
5009279,1.6692968371201653e-08,Approved
5009280,1.6692968371201653e-08,Approved
5009281,1.6692968371201653e-08,Approved
5009284,1.669296838399891e-08,Approved
5009285,1.6495230144804425e-08,Approved
5009286,1.6692968371171405e-08,Approved
5009287,1.6692968371171405e-08,Approved
5009289,1.809730717370339e-08,Approved
5009290,1.6692968371171405e-08,Approved
5009291,1.8097307116886168e-08,Approved
5009292,1.6692968371171405e-08,Approved
5009293,1.6692968371201653e-08,Approved
5009294,1.6692968371171405e-08,Approved
5009295,1.735908311485469e-08,Approved
5009296,1.604561587908912e-08,Approved
5009300,1.6925561511892342e-08,Approved
5009301,1.8017579363562245e-08,Approved
5009302,1.7551627192392388e-08,Approved
5009303,1.7345523209418856e-08,Approved
5009304,1.7387059870517728e-08,Approved
5009305,1.7343717469143292e-08,Approved
5009306,1.681639895914019e-08,Approved
5009307,1.681639895914019e-08,Approved
5009308,1.667273444823505e-08,Approved
5009309,1.681639895914019e-08,Approved
5009310,1.667273441902419e-08,Approved
5009311,1.681639895914019e-08,Approved
5009312,1.681639895914019e-08,Approved
5009313,1.681639895429986e-08,Approved
5009314,1.7664085763696885e-08,Approved
5009315,1.6617198548829968e-08,Approved
5009316,1.681639895914019e-08,Approved
5009317,1.6617198548829968e-08,Approved
5009318,1.7664085763696885e-08,Approved
5009319,1.667273441902419e-08,Approved
5009325,1.658119526366427e-08,Approved
5009327,1.658119526366427e-08,Approved
5009328,1.728603234192246e-08,Approved
5009329,1.658119526366427e-08,Approved
5009330,1.6581195214833937e-08,Approved
5009331,1.658119526366427e-08,Approved
5009332,1.6581195214833937e-08,Approved
5009333,1.658119526366427e-08,Approved
5009335,1.901346954512944e-08,Approved
5009336,1.7794941550781205e-08,Approved
5009337,1.7794941550781205e-08,Approved
5009338,1.713419549670994e-08,Approved
5009340,1.7262699881756144e-08,Approved
5009341,1.7262699881756144e-08,Approved
5009342,1.7262699881756144e-08,Approved
5009343,1.7262699881756144e-08,Approved
5009344,1.7058212827797442e-08,Approved
5009345,1.7262699881756144e-08,Approved
5009346,1.7527720478925465e-08,Approved
5009349,1.7781817783099233e-08,Approved
5009355,1.6453604327509504e-08,Approved
5009358,1.6453604327509504e-08,Approved
5009361,1.756002580122132e-08,Approved
5009362,1.7352016761807805e-08,Approved
5009363,1.7352016761807805e-08,Approved
5009364,1.751990750802858e-08,Approved
5009365,1.756002580122132e-08,Approved
5009367,1.7353823437296258e-08,Approved
5009368,1.650260604959989e-08,Approved
5009370,1.769315669562292e-08,Approved
5009371,1.769315669562292e-08,Approved
5009372,1.769315669562292e-08,Approved
5009373,1.6502606107264357e-08,Approved
5009378,1.7262368395268925e-08,Approved
5009379,1.7879417913153035e-08,Approved
5009380,1.7879417913153035e-08,Approved
5009381,1.8284382709345035e-08,Approved
5009382,1.8284382573949587e-08,Approved
5009383,1.6935730099918743e-08,Approved
5009384,1.6935730099918743e-08,Approved
5009386,1.8608883875732935e-08,Approved
5009387,1.8608883875732935e-08,Approved
5009392,1.6918992116290697e-08,Approved
5009393,1.6918992116290697e-08,Approved
5009395,1.7334077970803155e-08,Approved
5009396,1.7405701349832596e-08,Approved
5009397,1.7405701349832596e-08,Approved
5009398,1.754255107999314e-08,Approved
5009399,1.7405701349832596e-08,Approved
5009400,1.7405701335999555e-08,Approved
5009401,1.7405701349832596e-08,Approved
5009402,1.8047878668607923e-08,Approved
5009403,1.7874270734682562e-08,Approved
5009404,1.937236220190018e-08,Approved
5009405,1.7233186597225196e-08,Approved
5009406,1.7233186597225196e-08,Approved
5009408,1.7233186597256298e-08,Approved
5009410,1.7233186597256298e-08,Approved
5112901,1.7233186597225196e-08,Approved
5009416,1.7878570295535932e-08,Approved
5009418,1.884996375838505e-08,Approved
5009419,1.7878570305293355e-08,Approved
5009420,1.753385149687679e-08,Approved
5009421,1.884996367918245e-08,Approved
5009423,1.787338744516061e-08,Approved
5009425,1.7302475897452095e-08,Approved
5009426,1.8390631267344503e-08,Approved
5009427,1.682577274692586e-08,Approved
5009428,1.714684533755013e-08,Approved
5009429,1.7264455402144768e-08,Approved
5009431,1.8297484067170054e-08,Approved
5009435,1.735908311485469e-08,Approved
5090746,1.7664085706247544e-08,Approved
5009436,1.727714762451337e-08,Approved
5009437,1.7732520260490418e-08,Approved
5009438,1.7732520260490418e-08,Approved
5009439,1.7732520260490418e-08,Approved
5009440,1.7732520260490418e-08,Approved
5009441,1.8408824228209562e-08,Approved
5009442,1.8408824228209562e-08,Approved
5009443,1.800507006834899e-08,Approved
5009444,1.8408824206393004e-08,Approved
5009447,1.7308517692750364e-08,Approved
5009448,1.716644509738156e-08,Approved
5009450,1.819126881983932e-08,Approved
5009451,1.819126881983932e-08,Approved
5009452,1.819126881983932e-08,Approved
5009453,1.7975782328338586e-08,Approved
5009454,1.7703766308361367e-08,Approved
5009455,1.819126881983932e-08,Approved
5009456,1.7703766322431422e-08,Approved
5009457,1.819126881983932e-08,Approved
5009458,1.7975782328338586e-08,Approved
5009459,1.78151417558215e-08,Approved
5009460,1.7815141811752853e-08,Approved
5009465,1.6818681069082072e-08,Approved
5009466,1.6818681056158083e-08,Approved
5009468,1.6818681069082072e-08,Approved
5009470,1.6818681056158083e-08,Approved
5009471,1.6818681056158083e-08,Approved
5009473,1.6735116148801244e-08,Approved
5009482,1.633758743845466e-08,Approved
5009484,1.8845559114273093e-08,Approved
5009485,1.945850310167495e-08,Approved
5009487,1.744301687504077e-08,Approved
5009488,1.744301687504077e-08,Approved
5009489,1.744301687504077e-08,Approved
5009490,1.6656168391036113e-08,Approved
5009492,1.6656168391036113e-08,Approved
5009493,1.7383503854336117e-08,Approved
5009494,1.757606572003599e-08,Approved
5009495,1.7533292629843806e-08,Approved
5009497,1.7325600241750212e-08,Approved
5009498,1.7325600241750212e-08,Approved
5009499,1.7325600241750212e-08,Approved
5009500,1.7383503854336117e-08,Approved
5009501,1.757606588108253e-08,Approved
5009502,1.7325600241750212e-08,Approved
5009503,1.7383503854336117e-08,Approved
5009507,1.9506771241206056e-08,Approved
5009509,1.714786940752076e-08,Approved
5009510,1.69447425078446e-08,Approved
5009512,1.7212664787279927e-08,Approved
5009515,1.7212664787279927e-08,Approved
5009516,1.7212664800506664e-08,Approved
5009517,1.7212664787279927e-08,Approved
5009518,1.7275447651797843e-08,Approved
5009519,1.713369380147343e-08,Approved
5009521,1.7999713765101833e-08,Approved
5009523,1.827089805675173e-08,Approved
5009525,1.7751062242411788e-08,Approved
5009526,1.7563613264608695e-08,Approved
5009527,1.7774158838254227e-08,Approved
5009529,1.7563613264608695e-08,Approved
5009530,1.7563613225774998e-08,Approved
5009531,1.7774158838254227e-08,Approved
5009533,1.7549651960315957e-08,Approved
5009534,1.7774158838254227e-08,Approved
5009535,1.7208771892060605e-08,Approved
5009536,1.7802135301524313e-08,Approved
5009537,1.690279894352416e-08,Approved
5009540,1.6902798852304825e-08,Approved
5009543,1.6668203354051496e-08,Approved
5009545,1.666820335950103e-08,Approved
5009548,1.622248859535642e-08,Approved
5009551,1.666820335950103e-08,Approved
5009553,1.7017535406640293e-08,Approved
5009554,1.6668203354051496e-08,Approved
5009555,1.6668203366859852e-08,Approved
5009557,1.6668203349253822e-08,Approved
5009559,1.666820335408158e-08,Approved
5009560,1.6668203354051496e-08,Approved
5009561,1.6668203354051496e-08,Approved
5009562,1.7252970991382326e-08,Approved
5009563,1.7252970991382326e-08,Approved
5009564,1.7252970929601884e-08,Approved
5009565,1.7142745954311223e-08,Approved
5009566,1.77404249741286e-08,Approved
5009567,1.714274595428016e-08,Approved
5009568,1.7142745949346022e-08,Approved
5009569,1.7142745949346022e-08,Approved
5009570,1.7142745967453297e-08,Approved
5009571,1.714274595428016e-08,Approved
5009572,1.7142745967453297e-08,Approved
5009573,1.714274595428016e-08,Approved
5009574,1.774042502982538e-08,Approved
5009575,1.9471908015063645e-08,Approved
5009576,1.788779374087286e-08,Approved
5009577,1.7918961059852192e-08,Approved
5009578,1.7918961059852192e-08,Approved
5009579,1.7703328456327163e-08,Approved
5009580,1.7918961059852192e-08,Approved
5009581,1.839063150607651e-08,Approved
5009583,1.7838418967924906e-08,Approved
5009585,1.765081671349875e-08,Approved
5009586,2.115986012475408e-08,Approved
5009590,1.7274516573276913e-08,Approved
5009591,1.7274516573276913e-08,Approved
5009592,1.7663205995446348e-08,Approved
5090748,1.7203155485293956e-08,Approved
5009593,1.831941174995862e-08,Approved
5009594,1.8421650780866782e-08,Approved
5009595,1.831941174995862e-08,Approved
5009597,1.7736680598707116e-08,Approved
5009599,1.831941174995862e-08,Approved
5009600,1.7736680598707116e-08,Approved
5009602,1.6883674774458694e-08,Approved
5009603,1.7235300229039596e-08,Approved
5009605,1.844901845244665e-08,Approved
5009606,1.844901845244665e-08,Approved
5009607,1.8439584086686505e-08,Approved
5009608,1.8439584086686505e-08,Approved
5009609,1.793934676030459e-08,Approved
5009610,1.8439855496007888e-08,Approved
5009611,1.8439584086686505e-08,Approved
5009612,1.8439584086686505e-08,Approved
5009613,1.7368705282463326e-08,Approved
5009614,1.8439855270315836e-08,Approved
5009617,1.7017749542210833e-08,Approved
5009618,1.701774945813302e-08,Approved
5009620,1.7545664245594846e-08,Approved
5009622,1.7545664245594846e-08,Approved
5009623,1.7545664245594846e-08,Approved
5009624,1.687366439053255e-08,Approved
5009625,1.737594080674752e-08,Approved
5009627,1.737594080674752e-08,Approved
5009629,1.737594080674752e-08,Approved
5009631,1.7466592046140726e-08,Approved
5009632,1.7259689498816165e-08,Approved
5009633,1.808588884295222e-08,Approved
5009634,1.7557487560353683e-08,Approved
5009636,1.650219368712956e-08,Approved
5009637,1.6569738264328772e-08,Approved
5009638,1.6502193605598898e-08,Approved
5009639,1.656973823764306e-08,Approved
5009642,1.6481713209061998e-08,Approved
5009643,1.7146861397613256e-08,Approved
5009646,1.77444156616869e-08,Approved
5009647,1.7957128678441092e-08,Approved
5009648,1.774441572009398e-08,Approved
5090751,1.774441572009398e-08,Approved
5009651,1.583638820047391e-08,Approved
5009653,1.739445141405374e-08,Approved
5009654,1.583638820047391e-08,Approved
5009655,1.7394451366846255e-08,Approved
5009656,1.5836388188333324e-08,Approved
5009657,1.739445141405374e-08,Approved
5009658,1.5836388193482325e-08,Approved
5009660,1.7179605953086404e-08,Approved
5009661,1.7179605877460977e-08,Approved
5009662,1.7179605877460977e-08,Approved
5009663,1.6976103072752787e-08,Approved
5009671,1.8825228938715067e-08,Approved
5009672,1.882522901781374e-08,Approved
5009673,1.6790486920370128e-08,Approved
5009674,1.665950387829945e-08,Approved
5009675,1.679048691553738e-08,Approved
5009676,1.6790486920370128e-08,Approved
5009677,1.665950390748713e-08,Approved
5009678,1.6790486920370128e-08,Approved
5009680,1.665950393431741e-08,Approved
5009681,1.665950387829945e-08,Approved
5009682,1.6790486920370128e-08,Approved
5009683,1.665950390748713e-08,Approved
5009684,1.6790486920370128e-08,Approved
5009685,1.6790486920370128e-08,Approved
5009686,1.6790486920370128e-08,Approved
5009687,1.6790486920370128e-08,Approved
5009688,1.679048691553738e-08,Approved
5009689,1.6690857066359705e-08,Approved
5009690,1.6889182106486042e-08,Approved
5009691,1.6889182106486042e-08,Approved
5009693,1.6689119535816267e-08,Approved
5009701,1.7248705461612204e-08,Approved
5009702,1.7248705461612204e-08,Approved
5009703,1.7858996906511045e-08,Approved
5009704,1.7858996906511045e-08,Approved
5009705,1.8073083509360602e-08,Approved
5009706,1.8101627633899935e-08,Approved
5009707,1.829126041698086e-08,Approved
5009709,1.8580559530912987e-08,Approved
5009711,1.821843790858172e-08,Approved
5009712,1.8735851699758014e-08,Approved
5009715,1.6976910074914007e-08,Approved
5009716,1.6976910074914007e-08,Approved
5009717,1.7180422528585625e-08,Approved
5009719,1.7180476424671226e-08,Approved
5009722,1.718047643787323e-08,Approved
5009724,1.714597749736181e-08,Approved
5009725,1.858778712454772e-08,Approved
5009726,1.858778720407116e-08,Approved
5009727,1.7145977510506363e-08,Approved
5009729,1.7147594671309453e-08,Approved
5009730,1.7147594671309453e-08,Approved
5009731,1.714759467339598e-08,Approved
5009732,1.6773053336703975e-08,Approved
5009733,1.6773053336703975e-08,Approved
5009734,1.6773053336703975e-08,Approved
5009736,1.680126308493372e-08,Approved
5009737,1.7924011371683986e-08,Approved
5009738,1.7924011371683986e-08,Approved
5009739,1.680126308493372e-08,Approved
5009740,1.6801263029631106e-08,Approved
5009741,1.6801263029631106e-08,Approved
5009742,1.6975205189701873e-08,Approved
5009743,1.717869724059651e-08,Approved
5009751,2.0893622719118793e-08,Approved
5090754,1.9702964799675944e-08,Approved
5009757,1.718286606404823e-08,Approved
5009758,1.718286606404823e-08,Approved
5009759,1.718286604790662e-08,Approved
5009760,1.7366564233289814e-08,Approved
5009761,1.718286604790662e-08,Approved
5009762,1.677496870484842e-08,Approved
5009764,1.6774968601604836e-08,Approved
5009765,1.6774968601604836e-08,Approved
5009766,1.6976060325213964e-08,Approved
5009767,1.6774968601604836e-08,Approved
5009768,1.6976060325213964e-08,Approved
5009773,1.6976060325213964e-08,Approved
5009774,1.6976060325213964e-08,Approved
5009775,1.6774968601604836e-08,Approved
5009777,1.677496870484842e-08,Approved
5009779,1.8329963168035942e-08,Approved
5009783,1.6679301010597242e-08,Approved
5009784,1.6679301010597242e-08,Approved
5009785,1.7252971204388114e-08,Approved
5009788,1.7252971152342396e-08,Approved
5009789,1.7252971152342396e-08,Approved
5009790,1.686143233084274e-08,Approved
5009791,1.7252971152342396e-08,Approved
5009792,1.666343323151879e-08,Approved
5009794,1.7252971152342396e-08,Approved
5009797,1.7252971204388114e-08,Approved
5009798,1.7252971152342396e-08,Approved
5009799,1.698386461426513e-08,Approved
5009800,1.7496082492153684e-08,Approved
5009801,1.7496082492153684e-08,Approved
5009802,1.7496082407603484e-08,Approved
5009803,1.7496082492153684e-08,Approved
5009804,1.698386461426513e-08,Approved
5090756,1.7496082389740727e-08,Approved
5009805,1.9805945673105708e-08,Approved
5009806,1.717869726787834e-08,Approved
5009807,1.717869726787834e-08,Approved
5009808,1.717869726787834e-08,Approved
5009809,1.717869726787834e-08,Approved
5009810,1.71786972810791e-08,Approved
5009811,1.717869726787834e-08,Approved
5009812,1.717869726787834e-08,Approved
5009813,1.7178697262933854e-08,Approved
5009814,1.6975205193529863e-08,Approved
5009816,1.717869726787834e-08,Approved
5009817,1.717869726787834e-08,Approved
5090772,1.980594573528741e-08,Approved
5090773,1.717869726787834e-08,Approved
5009819,1.949795737182241e-08,Approved
5009820,1.949795737182241e-08,Approved
5009821,1.6978551301014273e-08,Approved
5009822,1.7182083526982267e-08,Approved
5009823,1.7182083526982267e-08,Approved
5009824,1.7182083526982267e-08,Approved
5009826,1.8738604481985768e-08,Approved
5009827,1.8738604481985768e-08,Approved
5009828,1.8738604481985768e-08,Approved
5009829,1.926112904900276e-08,Approved
5009830,1.8738604481985768e-08,Approved
5009831,1.713382751232554e-08,Approved
5009832,1.7088125374822975e-08,Approved
5009833,1.7133827587749446e-08,Approved
5009834,1.7088125372743807e-08,Approved
5009835,1.693086694771714e-08,Approved
5009836,1.7133827587749446e-08,Approved
5009837,1.8222377852511275e-08,Approved
5009838,1.8222377852511275e-08,Approved
5009839,1.792614759700931e-08,Approved
5009841,1.7758068702207245e-08,Approved
5009844,1.8287023467152403e-08,Approved
5009845,1.8332723227597836e-08,Approved
5009846,1.7594826210872932e-08,Approved
5009847,1.804572774209588e-08,Approved
5009848,1.8262052711236074e-08,Approved
5009849,1.8119590253626934e-08,Approved
5009850,1.6733296764353178e-08,Approved
5009851,1.6535080796085194e-08,Approved
5009852,1.6267066559348527e-08,Approved
5009853,1.653680236667839e-08,Approved
5009854,1.6267066559348527e-08,Approved
5009857,1.653680236667839e-08,Approved
5009858,1.6733296764353178e-08,Approved
5009859,1.6733296775256054e-08,Approved
5009860,1.6535080791915747e-08,Approved
5009864,1.78331253262424e-08,Approved
5009865,1.762371607892934e-08,Approved
5009866,1.762371609293565e-08,Approved
5009867,1.762371607892934e-08,Approved
5009868,1.762371609293565e-08,Approved
5009872,1.690311685529772e-08,Approved
5009874,1.7330020761399055e-08,Approved
5009877,1.7556416151291098e-08,Approved
5009878,1.7300296081813325e-08,Approved
5009879,1.7148532292628228e-08,Approved
5009880,1.678203580862607e-08,Approved
5009881,1.678203580862607e-08,Approved
5009882,1.7570053722913075e-08,Approved
5009883,1.635107136431617e-08,Approved
5009884,1.736192574034961e-08,Approved
5009885,1.678203580862607e-08,Approved
5009886,1.7570053722913075e-08,Approved
5009887,1.7570053722913075e-08,Approved
5009888,1.678203580862607e-08,Approved
5009889,1.7680732653427098e-08,Approved
5009890,1.768073268254957e-08,Approved
5009893,1.6930190669372106e-08,Approved
5009898,1.7552726099301614e-08,Approved
5009899,1.7552726099301614e-08,Approved
5009900,1.7480193130786457e-08,Approved
5009903,1.7480193128597356e-08,Approved
5009906,1.7480193125071446e-08,Approved
5009907,1.72731297493098e-08,Approved
5009910,1.7480193125102995e-08,Approved
5009911,1.7480193130786457e-08,Approved
5009915,1.7406801534495866e-08,Approved
5009919,1.7406801534495866e-08,Approved
5009922,1.685416738814332e-08,Approved
5009923,1.7056208548260194e-08,Approved
5009924,1.7056208537116017e-08,Approved
5009925,1.7076292358023784e-08,Approved
5009927,1.705620854822929e-08,Approved
5009928,1.705620854822929e-08,Approved
5009929,1.705620854822929e-08,Approved
5009930,1.7056208537116017e-08,Approved
5009931,1.7463059507895452e-08,Approved
5009932,1.7463059507895452e-08,Approved
5009934,1.8332251428771012e-08,Approved
5009935,1.8182908308282924e-08,Approved
5009939,1.8332251517362016e-08,Approved
5009941,1.8332251517362016e-08,Approved
5009942,1.8332251517362016e-08,Approved
5009943,1.7157426489094727e-08,Approved
5009945,1.7918606739970176e-08,Approved
5009946,1.6435437228025496e-08,Approved
5009947,1.6435437228025496e-08,Approved
5009949,1.7951718687827368e-08,Approved
5009950,1.6435437228025496e-08,Approved
5009951,1.8512834990629604e-08,Approved
5009952,1.7059385104717976e-08,Approved
5009954,1.7059385104717976e-08,Approved
5009957,1.70213770263609e-08,Approved
5009958,1.818688617220953e-08,Approved
5009960,1.70213770263609e-08,Approved
5009961,1.818688617220953e-08,Approved
5009965,1.6378012622012686e-08,Approved
5009966,1.657434583444389e-08,Approved
5009968,1.6378012763176474e-08,Approved
5009969,1.6574345834473805e-08,Approved
5009970,1.6574345834473805e-08,Approved
5009971,1.7439909162320272e-08,Approved
5009978,1.7439909078041533e-08,Approved
5009980,1.7439909162320272e-08,Approved
5009981,1.7439909162320272e-08,Approved
5009984,1.729783534777101e-08,Approved
5009985,1.7439909078041533e-08,Approved
5009986,1.6915581889754625e-08,Approved
5009988,1.7074245373996866e-08,Approved
5009989,1.7074245373996866e-08,Approved
5009990,1.7074245373996866e-08,Approved
5009991,1.7481018691510345e-08,Approved
5009992,1.7416907706496003e-08,Approved
5009993,1.6903593090844435e-08,Approved
5009994,1.6971761154396475e-08,Approved
5009995,1.7355043224621302e-08,Approved
5009996,1.6971761154396475e-08,Approved
5009997,1.7283796957485996e-08,Approved
5009998,1.7283796957485996e-08,Approved
5009999,1.729965757571143e-08,Approved
5010000,1.7299657562449064e-08,Approved
5010001,1.714418331349118e-08,Approved
5010005,1.8363153726518105e-08,Approved
5010006,1.7580671050571568e-08,Approved
5010007,1.7656332584531646e-08,Approved
5010009,1.6781246575825864e-08,Approved
5010010,1.7656332584531646e-08,Approved
5010011,1.7656332584531646e-08,Approved
5010012,1.7656332584531646e-08,Approved
5010015,1.66753262439654e-08,Approved
5010016,1.6812286976954987e-08,Approved
5010017,1.700163749625172e-08,Approved
5010018,1.720544632918762e-08,Approved
5010019,1.6812286976954987e-08,Approved
5010021,1.691899208142029e-08,Approved
5010026,1.7362260447133132e-08,Approved
5010027,1.7362260447133132e-08,Approved
5010028,1.7362260447133132e-08,Approved
5010031,1.735840176807756e-08,Approved
5010032,1.735840176807756e-08,Approved
5010036,1.6981304075372895e-08,Approved
5010037,1.848235861960096e-08,Approved
5010038,1.6981304075372895e-08,Approved
5010039,1.6981304075372895e-08,Approved
5010040,1.783084022537106e-08,Approved
5010041,1.7529085283453787e-08,Approved
5010042,1.7739216930636827e-08,Approved
5010043,1.7739216930636827e-08,Approved
5010044,1.8271054098452674e-08,Approved
5010045,1.8271054098452674e-08,Approved
5010046,1.752908518680383e-08,Approved
5010048,1.7739216930636827e-08,Approved
5010049,1.8271054098452674e-08,Approved
5010052,1.7221708593275607e-08,Approved
5010055,1.7017707121802156e-08,Approved
5010056,1.8034837880085338e-08,Approved
5010057,1.720463578748489e-08,Approved
5010058,1.6895521565226704e-08,Approved
5010059,1.7353892803334567e-08,Approved
5010060,1.8322527128543883e-08,Approved
5010062,1.7353892808360923e-08,Approved
5010063,1.8322527128543883e-08,Approved
5010064,1.7353892808329603e-08,Approved
5010066,1.7353892803334567e-08,Approved
5010068,1.6439773791566706e-08,Approved
5010070,1.824230953984829e-08,Approved
5010072,1.7221730774256816e-08,Approved
5010073,1.7221730774256816e-08,Approved
5010075,1.7221730787490644e-08,Approved
5010076,1.7221730774256816e-08,Approved
5010077,1.8976858844992626e-08,Approved
